"Y(X), created by Plot Digitizer, 2.6.8"
"Date: 7/18/16, 7:05:07 PM"


28
X,Y
400.132,2.16645,
411.189,2.36830,
419.682,2.35258,
427.930,2.08719,
434.123,1.72506,
449.328,1.27475,
465.039,1.02581,
483.576,0.849477,
495.157,0.858063,
507.255,0.810298,
540.465,0.562161,
557.709,0.522686,
573.661,0.603957,
586.775,0.846172,
595.256,1.09623,
607.090,1.19342,
614.049,0.960180,
625.125,0.759346,
635.163,0.727593,
645.704,0.953583,
651.359,1.08270,
658.578,0.817262,
663.481,0.527553,
669.152,0.334525,
687.429,0.230668,
707.508,0.102732,
725.779,0.127734,
745.343,0.0319898,
